Fecha,Hora,Turno,Boquilla,Peso (g),Temperatura del fluido (°C),Presión de llenado (bar)
2024-08-01,06:00,mañana,1,7.9828,17.0,5.5
2024-08-01,06:00,mañana,2,7.176,17.0,5.5
2024-08-01,06:00,mañana,3,8.2503,17.0,5.5
2024-08-01,06:00,mañana,4,8.3643,17.0,5.5
2024-08-01,06:00,mañana,5,6.6294,17.0,5.5
2024-08-01,06:00,mañana,6,7.0187,17.0,5.5
2024-08-01,06:00,mañana,7,7.8767,17.0,5.5
2024-08-01,06:00,mañana,8,7.6103,17.0,5.5
2024-08-01,06:00,mañana,9,7.7899,17.0,5.5
2024-08-01,06:00,mañana,10,7.2882,17.0,5.5
2024-08-01,06:00,mañana,11,8.3276,17.0,5.5
2024-08-01,06:00,mañana,12,8.2667,17.0,5.5
2024-08-01,06:00,mañana,13,7.8396,17.0,5.5
2024-08-01,06:00,mañana,14,8.3068,17.0,5.5
2024-08-01,06:00,mañana,15,7.6765,17.0,5.5
2024-08-01,06:00,mañana,16,6.7745,17.0,5.5
2024-08-01,06:10,mañana,1,8.0213,17.08,5.5
2024-08-01,06:10,mañana,2,7.2247,17.08,5.5
2024-08-01,06:10,mañana,3,8.3271,17.08,5.5
2024-08-01,06:10,mañana,4,7.77,17.08,5.5
2024-08-01,06:10,mañana,5,7.6891,17.08,5.5
2024-08-01,06:10,mañana,6,7.3914,17.08,5.5
2024-08-01,06:10,mañana,7,8.5335,17.08,5.5
2024-08-01,06:10,mañana,8,7.7073,17.08,5.5
2024-08-01,06:10,mañana,9,7.543,17.08,5.5
2024-08-01,06:10,mañana,10,7.5887,17.08,5.5
2024-08-01,06:10,mañana,11,8.1194,17.08,5.5
2024-08-01,06:10,mañana,12,8.0193,17.08,5.5
2024-08-01,06:10,mañana,13,8.0476,17.08,5.5
2024-08-01,06:10,mañana,14,7.8973,17.08,5.5
2024-08-01,06:10,mañana,15,8.6307,17.08,5.5
2024-08-01,06:10,mañana,16,7.0272,17.08,5.5
2024-08-01,06:20,mañana,1,7.4927,17.0,5.5
2024-08-01,06:20,mañana,2,7.3117,17.0,5.5
2024-08-01,06:20,mañana,3,8.1696,17.0,5.5
2024-08-01,06:20,mañana,4,8.4774,17.0,5.5
2024-08-01,06:20,mañana,5,7.7316,17.0,5.5
2024-08-01,06:20,mañana,6,7.2959,17.0,5.5
2024-08-01,06:20,mañana,7,7.3053,17.0,5.5
2024-08-01,06:20,mañana,8,8.1904,17.0,5.5
2024-08-01,06:20,mañana,9,8.246,17.0,5.5
2024-08-01,06:20,mañana,10,8.1259,17.0,5.5
2024-08-01,06:20,mañana,11,7.4007,17.0,5.5
2024-08-01,06:20,mañana,12,7.9393,17.0,5.5
2024-08-01,06:20,mañana,13,7.87,17.0,5.5
2024-08-01,06:20,mañana,14,7.7726,17.0,5.5
2024-08-01,06:20,mañana,15,7.9067,17.0,5.5
2024-08-01,06:20,mañana,16,7.3788,17.0,5.5
2024-08-01,06:30,mañana,1,8.2073,17.0,5.5
2024-08-01,06:30,mañana,2,7.8405,17.0,5.5
2024-08-01,06:30,mañana,3,7.9735,17.0,5.5
2024-08-01,06:30,mañana,4,8.1788,17.0,5.5
2024-08-01,06:30,mañana,5,6.9257,17.0,5.5
2024-08-01,06:30,mañana,6,7.6082,17.0,5.5
2024-08-01,06:30,mañana,7,7.5178,17.0,5.5
2024-08-01,06:30,mañana,8,7.4167,17.0,5.5
2024-08-01,06:30,mañana,9,7.6349,17.0,5.5
2024-08-01,06:30,mañana,10,8.697,17.0,5.5
