Fecha,Hora,Turno,Boquilla,Peso (g),Temperatura del fluido (°C),Presión de llenado (bar),Etapa
2024-08-01,06:00,mañana,1,7.7438,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,2,6.668,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,3,8.1004,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,4,8.2525,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,5,5.9392,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,6,6.4583,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,7,7.6023,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,8,7.247,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,9,7.4866,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,10,6.8176,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,11,8.2035,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,12,8.1222,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,13,7.5528,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,14,8.2338,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,15,7.4803,17.0,6.0,Mermelada
2024-08-01,06:00,mañana,16,6.3357,17.0,6.0,Mermelada
2024-08-01,06:10,mañana,1,7.795,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,2,6.7329,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,3,8.2028,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,4,7.4601,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,5,7.3521,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,6,6.9553,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,7,8.478,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,8,7.3764,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,9,7.1573,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,10,7.2183,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,11,7.9258,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,12,7.7924,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,13,7.8302,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,14,7.6878,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,15,8.55,17.13,6.0,Mermelada
2024-08-01,06:10,mañana,16,6.6726,17.13,6.0,Mermelada
2024-08-01,06:20,mañana,1,7.0902,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,2,6.849,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,3,7.9928,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,4,8.4032,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,5,7.4088,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,6,6.8279,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,7,6.8404,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,8,8.0205,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,9,8.0946,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,10,7.9345,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,11,6.9676,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,12,7.6857,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,13,7.5933,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,14,7.5215,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,15,7.7873,17.02,6.0,Mermelada
2024-08-01,06:20,mañana,16,7.1414,17.02,6.0,Mermelada
2024-08-01,06:30,mañana,1,8.0431,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,2,7.5541,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,3,7.7313,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,4,8.005,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,5,6.3343,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,6,7.2443,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,7,7.1237,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,8,6.9889,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,9,7.2799,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,10,8.696,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,11,6.8073,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,12,8.2746,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,13,6.1537,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,14,7.0875,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,15,7.2487,17.0,6.0,Mermelada
2024-08-01,06:30,mañana,16,7.4111,17.0,6.0,Mermelada
