Fecha,Hora,Turno,Boquilla,Peso (g),Temperatura del fluido (°C),Presión de llenado (bar),% de Reproceso,Etapa
2024-08-01,06:00,mañana,1,19.3645,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,2,18.6384,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,3,19.6052,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,4,19.7079,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,5,18.1464,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,6,18.4968,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,7,19.269,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,8,19.0292,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,9,19.1909,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,10,18.7394,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,11,19.6749,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,12,19.62,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,13,19.2357,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,14,19.8087,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,15,19.4525,17.0,4.0,0,Depositado
2024-08-01,06:00,mañana,16,18.736,17.0,4.0,0,Depositado
2024-08-01,06:10,mañana,1,19.3991,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,2,18.6822,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,3,19.6744,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,4,19.173,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,5,19.1002,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,6,18.8323,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,7,19.8602,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,8,19.1166,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,9,18.9687,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,10,19.0098,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,11,19.4874,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,12,19.3973,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,13,19.4229,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,14,19.4326,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,15,20.3565,17.19,4.0,1,Depositado
2024-08-01,06:10,mañana,16,18.9805,17.19,4.0,1,Depositado
2024-08-01,06:20,mañana,1,18.9234,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,2,18.7606,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,3,19.5326,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,4,19.8096,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,5,19.1385,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,6,18.7463,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,7,18.7548,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,8,19.5513,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,9,19.6014,17.1,4.0,0,Depositado
2024-08-01,06:20,mañana,10,19.4933,17.1,4.0,0,Depositado
